sku_ID,"('quantity', 'mean')","('quantity', 'sum')","('order_ID', 'nunique')","('order_hour', 'nunique')","('order_hour', 'group_mode')","('day_of_month', 'nunique')","('day_of_month', 'group_mode')","('original_unit_price', 'mean')","('discount_rate', 'mean')","('direct_discount_rate', 'mean')","('quantity_discount_rate', 'mean')","('bundle_discount_rate', 'mean')","('gift_item', 'mean')","('dc_ori', 'nunique')","('dc_ori', 'group_mode')","('dc_des', 'nunique')","('dc_des', 'group_mode')","('promise', 'group_mode')","('type', 'group_mode')",brand_ID,attribute1,attribute2
00eb3c1d0e,1.3333333333333333,4,3,3,"(10.0, 11.0]",3,13,49.0,0.013605442176870763,0.0,0.013605442176870748,0.0,0.0,3,9,3,27,-,2,4f65703579,3.0,100.0
00ee594cec,1.0,1,1,1,"(10.0, 11.0]",1,08,105.0,0.7619047619047619,0.5238095238095238,0.21904761904761905,0.0,0.0,1,7,1,31,-,2,356204debd,2.0,100.0
00f1fd5798,1.0476190476190477,66,63,10,"(11.0, 13.0]",24,26,165.0,0.0013949013949013933,0.0,0.0013949013949013948,0.0,0.0,8,5,35,24,-,2,99d41501ff,4.0,100.0
00f31e7fed,1.0,1,1,1,"(22.0, 23.0]",1,06,168.0,0.0,0.0,0.0,0.0,0.0,1,9,1,9,-,2,5a0b271e15,-,-
00f402d998,1.0,8,8,5,"(0.0, 8.0]",1,01,0.0,1.0,,,,1.0,4,9,6,5,-,2,ab4f2c8ec0,-,-
00f58ba977,1.0,1,1,1,"(11.0, 13.0]",1,26,139.0,0.38848920863309355,0.38848920863309355,0.0,0.0,0.0,1,7,1,31,3,2,da5eb98d7d,3.0,-
00f6b3b501,1.3768115942028984,190,138,10,"(20.0, 22.0]",30,17,22.3,0.24113212452069932,0.17384480405537142,0.060983297588873726,0.002047182686683564,0.0,7,9,44,9,-,2,787ea7298f,2.0,40.0
00f73773ae,1.0,1,1,1,"(8.0, 10.0]",1,04,249.0,0.0,0.0,0.0,0.0,0.0,1,2,1,2,-,2,f86ac02fc2,-,-
00f7930afa,1.0,5,5,5,"(0.0, 8.0]",5,05,42.0,0.0,0.0,0.0,0.0,0.0,4,9,5,9,-,2,4d5c65bb16,2.0,-
01067c41a5,1.0,2,2,2,"(8.0, 10.0]",2,01,94.0,0.2978723404255319,0.0,0.28191489361702127,0.0,0.0,2,5,2,17,1,2,94b4cdec6a,3.0,60.0
011608361a,1.0,1,1,1,"(18.0, 20.0]",1,27,178.6,0.033594624860022404,0.0,0.0,0.0,0.0,1,7,1,53,3,2,23a07819d6,3.0,100.0
011649a95a,1.0,4,4,4,"(8.0, 10.0]",4,15,168.0,0.0,0.0,0.0,0.0,0.0,2,4,3,5,-,2,6d0be17626,-,60.0
0126ea70bf,1.0,1,1,1,"(22.0, 23.0]",1,29,329.0,0.0,0.0,0.0,0.0,0.0,1,7,1,53,-,2,60f89407f3,-,-
0127c84c74,1.0,2,2,2,"(13.0, 15.0]",2,28,248.0,0.0020161290322580627,0.0,0.0,0.0,0.0,2,2,2,42,-,2,bd97f9a5fa,4.0,100.0
01326007f9,1.028301886792453,109,106,10,"(11.0, 13.0]",30,31,67.54716981132076,0.025703427168466013,0.012075471698113207,0.0,0.0,0.0,7,5,35,5,-,2,52ff3378a1,3.0,60.0
013c4c4075,1.0,1,1,1,"(16.0, 18.0]",1,02,145.0,0.03448275862068961,0.0,0.0,0.0,0.0,1,7,1,39,-,2,20a3ffc977,3.0,100.0
014f16ace7,1.0,1,1,1,"(0.0, 8.0]",1,24,75.0,0.040000000000000036,0.0,0.0,0.0,0.0,1,2,1,2,-,2,906d0caa60,-,-
014f241d49,1.0909090909090908,12,11,6,"(0.0, 8.0]",9,12,158.9090909090909,0.024467649467649465,0.016233766233766232,0.0,0.0,0.0,4,9,8,9,-,2,7bf21e732d,4.0,-
016b2bc1d5,1.0,1,1,1,"(18.0, 20.0]",1,03,299.0,0.28428093645484953,0.26755852842809363,0.0,0.0,0.0,1,7,1,7,-,2,5e68c766c4,-,-
01754fe70c,1.0,2,2,2,"(10.0, 11.0]",2,08,59.0,0.0,0.0,0.0,0.0,0.0,2,4,2,4,5,2,809c74623f,-,-
017b558348,1.1666666666666667,7,6,5,"(20.0, 22.0]",6,04,65.0,0.07692307692307687,0.07692307692307693,0.0,0.0,0.0,4,2,5,2,-,2,4d5c65bb16,2.0,-
017fd75051,1.0,5,5,3,"(8.0, 10.0]",5,01,45.0,0.01333333333333333,0.0,0.0,0.0,0.0,5,9,5,61,3,2,cf581b431b,-,-
018611ed07,1.0,8,8,5,"(0.0, 8.0]",7,26,59.0,0.0,0.0,0.0,0.0,0.0,4,5,7,51,-,2,f1d00479ef,-,-
018a6a0fdc,1.44,36,25,10,"(0.0, 8.0]",19,17,230.0,0.8312463768115941,0.8304347826086956,0.0,0.0,0.0,7,5,17,5,-,2,7cc01be867,3.0,60.0
018d9ce323,1.5,3,2,2,"(15.0, 16.0]",2,08,199.0,0.7663316582914572,0.7537688442211056,0.0,0.0,0.0,1,10,2,38,-,2,356204debd,2.0,100.0
019420a70d,1.0,42,42,3,"(8.0, 10.0]",9,26,116.0,0.2931034482758621,0.0,0.0,0.0,0.0,6,9,22,4,-,2,43999af013,3.0,100.0
019dedb453,1.055393586005831,362,343,10,"(13.0, 15.0]",16,27,163.26530612244898,0.7837774538386784,0.6382142857142857,0.0,0.0,0.1836734693877551,7,5,46,16,3,2,2ca1d37ca7,4.0,100.0
01a47a5a6f,1.0,2,2,2,"(11.0, 13.0]",2,16,139.9,0.33523945675482486,0.29949964260185846,0.035739814152966405,0.0,0.0,2,5,2,5,-,2,5934e3362b,3.0,100.0
01ac4b38b2,1.0,10,10,5,"(18.0, 20.0]",6,01,79.0,0.5620253164556962,0.40506329113924056,0.14177215189873418,0.0,0.0,3,2,8,20,2,2,,,
01bade60a0,1.0,2,2,2,"(0.0, 8.0]",1,07,65.0,0.2615384615384615,0.0,0.26153846153846155,0.0,0.0,2,2,2,42,-,2,b8942de7b2,3.0,50.0
01c1fce712,1.0,36,36,8,"(11.0, 13.0]",14,13,165.0,0.0,0.0,0.0,0.0,0.0,7,5,24,32,-,2,bd97f9a5fa,4.0,100.0
01c99f44fd,1.507292327203551,2377,1577,10,"(20.0, 22.0]",15,29,79.0,0.522680462021303,0.49974715651413115,0.022933305507171924,0.0,0.0,7,5,59,5,-,2,43999af013,-,-
01c9d91829,1.1520833333333333,553,480,10,"(20.0, 22.0]",31,16,128.62916666666666,0.013655596664317593,0.0015988372093023256,0.0,0.0,0.0,36,5,52,5,1,1,204dbedf50,3.0,90.0
01ca105f1a,1.1538461538461537,15,13,6,"(20.0, 22.0]",12,31,56.92307692307692,0.36344527565457796,0.16958041958041958,0.1824402341844202,0.0,0.0,5,5,10,26,-,2,003938d449,3.0,30.0
01d1084fb2,1.0,4,4,2,"(11.0, 13.0]",3,08,99.0,0.41414141414141414,0.40404040404040403,0.0,0.0,0.0,2,5,3,5,-,2,,,
01d1472e75,1.0,5,5,4,"(8.0, 10.0]",5,09,45.0,0.0,0.0,0.0,0.0,0.0,4,10,4,10,-,2,ddb787aeb9,4.0,100.0
01d1a548aa,1.4,14,10,7,"(16.0, 18.0]",8,20,180.0,0.5085555555555556,0.5063333333333333,0.0,0.0,0.0,4,5,7,5,-,2,7cc01be867,3.0,60.0
01e626c90c,1.0,3,3,2,"(11.0, 13.0]",3,10,55.0,0.0,0.0,0.0,0.0,0.0,2,10,3,25,-,2,8a5ee0390f,4.0,100.0
01edd721c9,1.0,1,1,1,"(15.0, 16.0]",1,09,102.0,0.06862745098039214,0.06862745098039216,0.0,0.0,0.0,1,10,1,37,-,2,86a6979f75,-,-
01f07fd793,1.0,1,1,1,"(13.0, 15.0]",1,08,129.0,0.0,0.0,0.0,0.0,0.0,1,2,1,15,-,2,a72dbe64e1,3.0,-
01f49374d5,1.1666666666666667,7,6,3,"(20.0, 22.0]",4,27,99.0,0.0,0.0,0.0,0.0,0.0,5,5,6,26,-,2,e500aaa647,-,-
020088c885,1.0,12,12,8,"(13.0, 15.0]",11,28,10.0,0.07499999999999998,0.0,0.0,0.0,0.0,5,9,11,27,-,2,03c4806282,3.0,100.0
02042d9606,1.0303030303030303,34,33,9,"(8.0, 10.0]",19,13,106.0,0.030874785591766717,0.0,0.02858776443682104,0.0,0.0,8,5,22,4,-,2,1cd935548a,2.0,-
0207827b1f,1.0,267,267,6,"(13.0, 15.0]",4,27,0.0,1.0,,,,1.0,7,5,41,26,-,2,882aa1c303,3.0,80.0
0208618538,3.0,12,4,4,"(0.0, 8.0]",4,04,43.5,0.023255813953488358,0.0,0.023255813953488372,0.0,0.0,3,9,4,50,-,2,f26ba1fea3,2.0,100.0
021fdfcc4e,1.0,3,3,3,"(0.0, 8.0]",3,16,161.33333333333334,0.0,0.0,0.0,0.0,0.0,3,9,3,36,-,2,e9fc5c2b46,4.0,100.0
0229c195c8,1.0,3,3,3,"(0.0, 8.0]",3,08,420.0,0.0,0.0,0.0,0.0,0.0,2,4,2,4,-,2,17892f5485,-,-
0235182ce6,1.0,2,2,2,"(15.0, 16.0]",2,03,118.0,0.0,0.0,0.0,0.0,0.0,2,7,2,7,-,2,4d918c6fd9,3.0,60.0
0239741b8c,1.0,1,1,1,"(0.0, 8.0]",1,28,85.8,0.0,0.0,0.0,0.0,0.0,1,4,1,4,-,2,1d8b4b4c63,-,-
0240792b89,1.0,2,2,2,"(11.0, 13.0]",2,15,198.0,0.6515151515151515,0.6515151515151515,0.0,0.0,0.0,2,2,2,42,-,2,198cec62a1,-,100.0
02492f5518,1.0,3,3,2,"(15.0, 16.0]",3,15,499.0,0.26252505010020044,0.2625250501002004,0.0,0.0,0.0,3,5,3,26,-,2,17892f5485,-,-
024b17fbd1,1.3,26,20,8,"(22.0, 23.0]",7,01,69.0,0.6186050724637682,0.25036231884057975,0.3393297101449275,0.0,0.0,9,5,17,20,2,1,,,
0250ed73a0,1.0,1,1,1,"(22.0, 23.0]",1,25,95.0,0.0,0.0,0.0,0.0,0.0,1,5,1,17,-,2,bd97f9a5fa,4.0,100.0
02514838da,1.0666666666666667,32,30,8,"(11.0, 13.0]",14,08,405.0,0.29300411522633746,0.29300411522633746,0.0,0.0,0.0,7,5,18,5,-,2,fd68e214e8,3.0,100.0
0257b7c373,1.5,3,2,2,"(15.0, 16.0]",2,12,59.0,0.0,0.0,0.0,0.0,0.0,2,2,2,6,-,2,f9133576b1,4.0,100.0
025e9dc12a,1.2,6,5,5,"(8.0, 10.0]",4,06,145.0,0.3979310344827586,0.38620689655172413,0.011724137931034483,0.0,0.0,3,5,4,5,-,2,dc7e4ae5fc,4.0,100.0
02655d8b2d,1.0,1,1,1,"(18.0, 20.0]",1,22,59.9,0.4841402337228715,0.0,0.48414023372287146,0.0,0.0,1,4,1,44,-,2,5f18ea3972,1.0,80.0
027604c03a,1.0969162995594715,249,227,10,"(8.0, 10.0]",30,07,128.97356828193833,0.3451712597752962,0.046716524946214526,0.28862309189632207,0.0,0.0,16,5,42,5,1,1,94b4cdec6a,-,60.0
027761d794,1.0615384615384615,69,65,10,"(8.0, 10.0]",17,03,159.0,0.3873246250604741,0.3836477987421384,0.0036768263183357525,0.0,0.0,7,9,26,9,-,2,478a17e887,-,-
0281e0c56d,1.0,3,3,1,"(0.0, 8.0]",3,14,98.0,0.4948979591836735,0.49489795918367346,0.0,0.0,0.0,3,9,3,25,-,2,0b0f75e8d5,4.0,60.0
02828e55cd,1.0,5,5,2,"(11.0, 13.0]",5,16,149.0,0.4457718120805369,0.0,0.3008053691275168,0.0,0.0,3,2,4,2,-,2,17b32c1de7,3.0,70.0
028f38d48e,1.0434782608695652,24,23,9,"(20.0, 22.0]",12,06,125.82608695652173,0.018930291670671676,0.0,0.0,0.0,0.0,7,7,17,7,-,2,7570ad59f3,3.0,100.0
02907c7ea5,1.0,2,2,2,"(0.0, 8.0]",2,07,178.0,0.5224719101123596,0.5224719101123596,0.0,0.0,0.0,2,24,2,24,-,2,198cec62a1,4.0,60.0
0294395df1,1.0294117647058822,35,34,5,"(11.0, 13.0]",5,27,44.8235294117647,0.0018853695324283558,0.0018853695324283558,0.0,0.0,0.0,7,5,21,26,-,2,db6396963d,4.0,60.0
0297ea8e49,1.0,1,1,1,"(8.0, 10.0]",1,28,179.0,0.010000000000000009,0.01,0.0,0.0,0.0,1,5,1,5,-,2,542855a7fa,-,-
0297ffe05f,1.0,1,1,1,"(20.0, 22.0]",1,31,168.0,0.0,0.0,0.0,0.0,0.0,1,9,1,36,5,2,90963edda0,4.0,100.0
029aeb3f52,1.0,1,1,1,"(16.0, 18.0]",1,27,98.0,0.5,0.5,0.0,0.0,0.0,1,24,1,24,-,2,4f65703579,4.0,100.0
029b0160db,1.0,2,2,2,"(13.0, 15.0]",2,08,57.5,0.03304347826086956,0.0,0.0,0.0,0.0,2,2,2,2,-,2,7cc01be867,-,-
02a8222008,1.0,44,44,3,"(8.0, 10.0]",1,27,0.0,1.0,,,,1.0,7,5,20,7,-,2,686b0df2bd,4.0,100.0
02ad1923b7,1.0,1,1,0,"(0.0, 8.0]",1,12,179.0,0.06703910614525144,0.0,0.0,0.0,0.0,1,4,1,4,-,2,a545d2e5cf,3.0,-
02b6527c8f,1.03125,33,32,10,"(8.0, 10.0]",18,26,180.0,0.022916666666666665,0.0,0.018229166666666664,0.0,0.0,7,5,20,9,4,2,bd97f9a5fa,-,-
02b9c79d68,1.1063829787234043,52,47,10,"(0.0, 8.0]",22,15,109.0,0.18861799726722625,0.00425531914893617,0.1818251024790162,0.0,0.0,7,5,25,4,-,2,5dd406aacc,2.0,60.0
02ba4e0942,1.0,1,1,1,"(20.0, 22.0]",1,24,79.0,0.0,0.0,0.0,0.0,0.0,1,9,1,25,-,2,7aac002ed6,3.0,-
02bdb0a214,1.0,2,2,2,"(8.0, 10.0]",1,29,49.0,0.0,0.0,0.0,0.0,0.0,2,5,2,17,-,2,4f65703579,2.0,70.0
02c47581e2,1.0222222222222221,46,45,8,"(13.0, 15.0]",16,19,162.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,6,9,21,9,-,2,478a17e887,-,-
02c678bf6b,1.0,1,1,1,"(18.0, 20.0]",1,08,695.0,0.14388489208633093,0.0,0.14388489208633093,0.0,0.0,1,7,1,39,3,2,,,
02ce4167b0,1.0,1,1,1,"(11.0, 13.0]",1,28,79.9,0.20000000000000007,0.19999999999999998,0.0,0.0,0.0,1,4,1,4,-,2,9b0d3a5fc6,3.0,60.0
02e1923610,1.0,47,47,10,"(8.0, 10.0]",23,26,164.0,0.05760249091852622,0.021406331084587442,0.0,0.0,0.0,7,5,25,4,4,2,8b40ec9ab7,3.0,60.0
02fe3d8b8e,1.0,3,3,2,"(0.0, 8.0]",3,15,59.0,0.0,0.0,0.0,0.0,0.0,1,9,3,27,3,2,5f18ea3972,1.0,60.0
0302c5de02,1.0,4,4,3,"(13.0, 15.0]",4,26,39.9,0.0,0.0,0.0,0.0,0.0,3,5,4,10,-,2,a2a286ffae,3.0,60.0
0302dc3928,1.0,1,1,1,"(16.0, 18.0]",1,09,225.0,0.2533333333333333,0.25333333333333335,0.0,0.0,0.0,1,5,1,13,-,2,a2ff0f7b48,2.0,80.0
030eb63048,1.0,1,1,1,"(20.0, 22.0]",1,30,266.0,0.1127819548872181,0.0,0.09022556390977443,0.0,0.0,1,5,1,55,-,2,c56a8d0a31,2.0,50.0
030f85221c,1.2682926829268293,52,41,10,"(20.0, 22.0]",17,06,79.0,0.3560800658639498,0.0763352886693424,0.2696593598847381,0.0,0.0,7,2,21,5,3,2,906d0caa60,2.0,60.0
030fd27036,1.0,6,6,4,"(18.0, 20.0]",6,03,28.0,0.0,0.0,0.0,0.0,0.0,3,9,3,9,-,2,3d5774cf27,-,-
0311c88f08,1.25,15,12,7,"(10.0, 11.0]",9,01,108.0,0.7205246913580248,0.7037037037037037,0.016820987654320985,0.0,0.0,6,9,9,6,-,2,404fb1b029,3.0,60.0
031a48d8fe,1.0,2,2,2,"(13.0, 15.0]",2,06,58.0,0.008620689655172431,0.0,0.008620689655172414,0.0,0.0,2,2,2,42,-,2,39cdd8738f,4.0,100.0
031f2261d6,1.0,3,3,2,"(8.0, 10.0]",3,07,99.0,0.41077441077441074,0.40404040404040403,0.0,0.0,0.0,3,2,3,2,-,2,42e6445fca,3.0,100.0
032e81abc0,1.0,32,32,10,"(20.0, 22.0]",19,25,239.0,0.019089958158995817,0.0,0.0,0.0,0.0,5,5,18,5,-,2,3d5774cf27,3.0,60.0
0339b8590a,1.0,13,13,7,"(13.0, 15.0]",10,21,269.0,0.5293108378610237,0.5241635687732342,0.0,0.0,0.0,5,9,10,27,-,2,bd97f9a5fa,4.0,100.0
0352a2db5b,1.0,1,1,1,"(18.0, 20.0]",1,27,198.0,0.6565656565656566,0.0,0.0,0.0,0.0,1,10,1,47,-,2,4d918c6fd9,4.0,-
03544d6e61,1.0,2,2,2,"(13.0, 15.0]",2,13,128.0,0.0,0.0,0.0,0.0,0.0,2,2,2,20,-,2,90963edda0,-,-
035b3ae617,1.6074074074074074,217,135,10,"(8.0, 10.0]",30,28,89.0,0.4300319045637398,0.33707865168539325,0.09187127202108476,0.0,0.0,7,24,41,24,5,2,5a0b271e15,1.0,80.0
03659b6021,1.0,1,1,1,"(18.0, 20.0]",1,28,312.0,0.0,0.0,0.0,0.0,0.0,1,5,1,26,1,2,26216ff73f,-,-
037428cb6b,1.0,1,1,1,"(18.0, 20.0]",1,11,169.0,0.0,0.0,0.0,0.0,0.0,1,2,1,2,-,2,bd97f9a5fa,3.0,100.0
037a7eaab9,1.0,823,823,10,"(13.0, 15.0]",26,10,69.0,0.09072498987444308,0.0,0.0,0.0,0.0,7,5,49,9,-,2,56927d66dc,3.0,60.0
0383ce5885,1.0,1,1,1,"(16.0, 18.0]",1,01,65.0,0.0,0.0,0.0,0.0,0.0,1,4,1,4,-,2,03c4806282,4.0,60.0
0384e94127,1.0,2,2,2,"(10.0, 11.0]",2,26,198.0,0.01010101010101011,0.0,0.0,0.0,0.0,2,5,2,33,-,2,0b76f3c8dc,3.0,100.0
038abb41a5,1.0,595,595,5,"(15.0, 16.0]",8,02,0.43025210084033616,0.9979516806722689,0.390625,0.0,0.0,0.9966386554621849,7,5,49,9,4,2,eb7d2a675a,3.0,100.0
0390e50992,1.7142857142857142,12,7,5,"(11.0, 13.0]",7,03,65.0,0.0,0.0,0.0,0.0,0.0,4,5,7,3,-,2,4efb032b5a,2.0,70.0
039a7761a3,1.0,2,2,1,"(22.0, 23.0]",2,08,176.0,0.44318181818181823,0.4431818181818182,0.0,0.0,0.0,1,2,2,20,-,2,4e2b1b5af7,3.0,60.0
03a2f9c7fd,1.2222222222222223,22,17,8,"(0.0, 8.0]",5,06,0.0,1.0,,,,1.0,6,5,12,5,-,2,,,
03aeb718b4,1.3333333333333333,4,3,3,"(16.0, 18.0]",2,01,128.0,0.46484375,0.3359375,0.11197916666666667,0.0,0.0,2,5,3,20,-,2,4efb032b5a,2.0,70.0
03afddcebd,1.0,2,2,2,"(13.0, 15.0]",2,20,249.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,-,2,26216ff73f,4.0,100.0
03b17af012,1.0,37,37,9,"(20.0, 22.0]",22,08,0.24324324324324326,0.9759759759759761,0.0,0.0,0.0,0.972972972972973,7,5,20,5,-,2,7fcb433bba,-,-
03c1abbbae,1.0,1,1,1,"(22.0, 23.0]",1,11,0.0,1.0,,,,1.0,1,2,1,20,4,2,,,
03c4e04481,1.0303030303030303,204,99,10,"(18.0, 20.0]",30,08,39.5,0.5032975322848741,0.00020202020202020202,0.0019179133103183737,0.0,0.5,7,5,37,4,-,2,756e32fa16,3.0,60.0
03cd9d1562,1.0,4,4,3,"(11.0, 13.0]",4,01,109.0,0.0,0.0,0.0,0.0,0.0,4,24,4,21,4,2,198cec62a1,1.0,100.0
03d4dd643d,1.1129032258064515,69,62,9,"(11.0, 13.0]",28,16,54.5,0.0019483081779619238,0.0,0.0019483081779619216,0.0,0.0,7,5,33,9,-,2,0b0f75e8d5,4.0,60.0
03d59e8130,1.0,1,1,1,"(0.0, 8.0]",1,30,99.0,0.0,0.0,0.0,0.0,0.0,1,5,1,55,-,2,b11149be12,-,-
